Oklahoma State University
ECEN 3233, Fall 2021
Digital Logic Design
Simplified Digital Encryption Standard (DES)

(Key) (Plaintext) (K1) (K2) (sbox0_K0) (sbox1_K0) (sbox0_K1) (sbox1_K1) (Ciphertext)
0011111011 00001110 01110111 01111010 0011 0010 0000 0001 10111111
1100110111 10111100 10101011 10111111 0010 0000 0000 0000 01101001
1100110001 00110001 10000011 00111101 0011 0000 0011 0000 10011110
1111011111 11001011 11111111 11101111 0011 0010 0010 0001 00101000
1010100011 00001001 10100110 01011011 0011 0000 0011 0011 11010010
1001111111 11110111 11111011 10111011 0011 0000 0000 0011 11101001
1000111110 00001011 11101001 10110011 0001 0011 0001 0000 11111101
0111000000 10111110 00010100 01000100 0001 0000 0001 0001 10111111
1110011101 00001010 11001111 11101101 0001 0010 0001 0011 11011100
1100000101 11011001 10001010 10001101 0010 0011 0010 0000 11111101
1011101000 11011100 11010100 01010001 0000 0010 0010 0000 11111011
1010100111 01111000 10101110 11011011 0010 0001 0000 0010 01011011
1001100111 01100111 10111010 10011011 0011 0000 0000 0001 10001011
1101001001 01111001 11010010 00001101 0010 0011 0011 0011 10010011
0100110110 00011100 00101001 10110110 0000 0001 0001 0011 00000100
0001011001 01011010 01010011 00101000 0000 0010 0000 0000 11111000
1100000001 00111100 10000010 00001101 0011 0011 0001 0000 00110010
1010100110 01100011 10101100 11010011 0001 0011 0010 0001 00000001
0010110000 10111011 00000101 01110000 0010 0000 0010 0010 01001100
0000110011 10111001 00100011 00111010 0001 0000 0011 0000 10111110
0010100101 01110101 00001110 11011000 0010 0011 0011 0001 10010010
0110110000 11010000 00000101 01110100 0011 0010 0010 0000 11001000
1001101110 00001110 11111000 10010011 0010 0000 0010 0010 00000011
1010001000 00110101 11000100 01000001 0010 0000 0010 0011 11101011
0100101111 11011110 01101010 10011110 0001 0000 0010 0010 01000011
1101100110 10011111 10111000 10010111 0011 0011 0001 0001 10111000
1110100110 00000110 10101100 11010111 0000 0000 0010 0011 00100101
0101110010 11110010 00110001 00110110 0010 0001 0011 0001 00011101
0111100100 10111111 00011100 11010100 0011 0000 0010 0010 01011101
0011010111 01010111 00111111 11101010 0011 0010 0001 0010 10101111
0111111100 01011000 01011101 11110100 0001 0011 0001 0011 00001101
1101111000 00011101 11010001 00110101 0010 0001 0001 0011 00000010
0111000110 00000000 00111100 11000110 0010 0001 0010 0001 10000111
1010100001 01100101 10000110 01011001 0010 0000 0010 0011 10111011
1001011100 01011001 11011001 10100001 0010 0010 0000 0011 01011010
0101001010 11001100 01110000 00000110 0010 0010 0000 0001 00111101
0010100001 10110100 00000110 01011000 0011 0011 0011 0010 10110000
0011000100 01111110 00011100 11000000 0001 0001 0011 0010 00001000
1001101001 10101101 11010010 00011001 0011 0000 0010 0010 10011101
0111111110 10010000 01111101 11110110 0010 0001 0011 0000 10000001
1011101001 00001001 11010110 01011001 0011 0000 0011 0000 11110110
0101010110 00001001 00111001 10100110 0001 0001 0001 0011 01010001
0000101001 11010001 01000010 00011000 0000 0001 0010 0000 11010111
1001011011 00010110 11110011 00101011 0010 0000 0000 0010 11100011
0110010110 10000001 00101101 11100110 0001 0001 0001 0000 01010111
0111111011 11010001 01110111 01111110 0011 0000 0000 0000 01000100
1100111001 10110100 11000011 00111101 0000 0001 0010 0001 11001110
1000011000 11001011 11000001 00100001 0000 0011 0011 0000 01111111
1001110000 00011001 10010001 00110001 0011 0001 0011 0000 10110111
1001000100 01010101 10011000 10000001 0010 0010 0000 0000 01011111
1010010110 01000110 10101101 11100011 0000 0011 0001 0011 11111100
0101010100 10111010 00011001 10100100 0001 0000 0000 0000 11111010
0010001000 11010001 01000100 01000000 0000 0000 0000 0000 01010110
1011000000 10110001 10010100 01000001 0010 0000 0001 0001 00001000
0111111111 11100011 01111111 11111110 0011 0001 0001 0001 11001001
0100111111 11010101 01101011 10111110 0001 0001 0010 0001 11000010
1000100001 10011111 10000010 00011001 0000 0000 0001 0000 10100111
0100000101 10110100 00001010 10001100 0011 0001 0011 0010 10111000
0111110011 11111110 00110111 01111110 0011 0000 0011 0001 00101101
0001111010 01100000 01110001 00110010 0000 0010 0000 0000 00010000
0011011110 01011111 01111101 11100010 0000 0001 0010 0000 01110100
0011011100 01111100 01011101 11100000 0001 0011 0011 0000 10100000
0101110100 01010010 00011001 10110100 0011 0000 0010 0011 01100110
1010010110 10010101 10101101 11100011 0001 0010 0011 0001 10011011
1010111100 11000100 11001101 11110001 0001 0000 0001 0001 01000111
0101111011 11101000 01110011 00111110 0010 0011 0001 0011 01010101
0100010001 00011010 00000011 00101100 0011 0010 0010 0001 01111110
1000001111 01001101 11101010 10001011 0011 0011 0011 0000 11101110
1001010001 10110000 10010011 00101001 0011 0001 0001 0010 00111001
1111010001 01000110 10010111 01101101 0011 0001 0011 0011 01100110
1100010001 01111101 10000011 00101101 0010 0000 0011 0001 10111011
0100100101 01000011 00001010 10011100 0010 0000 0001 0011 11110010
1010011000 10001010 11000101 01100001 0001 0000 0010 0001 00110110
1111111111 11111110 11111111 11111111 0000 0011 0010 0001 01110110
0100100111 10000110 00101010 10011110 0010 0011 0000 0000 10001000
0000101111 10001011 01101010 10011010 0011 0010 0001 0011 11011000
1011100110 01100000 10111100 11010011 0001 0001 0011 0011 11101101
0001011000 00111111 01010001 00100000 0010 0000 0011 0000 00101111
0011000101 01011000 00011110 11001000 0011 0001 0010 0001 11100111
1101001101 11010111 11011010 10001101 0010 0010 0010 0000 01011101
0110010100 10110110 00001101 11100100 0001 0000 0011 0001 00011111
1110101101 01100000 11001110 11011101 0001 0000 0001 0010 01101000
1111101000 01010111 11010100 01010101 0010 0011 0000 0001 11011010
0111011011 10010100 01110111 01101110 0010 0011 0000 0000 01001000
0010001011 11000100 01100110 01001010 0010 0011 0011 0011 11111100
1100011001 01101111 11000011 00101101 0000 0000 0001 0000 11111101
0100101001 00111011 01000010 00011100 0001 0000 0011 0010 00011100
1110001000 00111100 11000100 01000101 0011 0010 0010 0000 11110011
0100100101 11101100 00001010 10011100 0011 0000 0010 0000 10101001
0100111010 00011111 01100001 00110110 0011 0000 0011 0000 00110111
1011001100 10110011 11011100 11000001 0010 0011 0011 0010 00100101
0110111011 11010110 01100111 01111110 0010 0010 0001 0000 10011001
0110000111 11011101 00101110 11001110 0001 0000 0010 0010 11000111
0101110010 01111101 00110001 00110110 0011 0001 0010 0000 11101110
0111011111 01101011 01111111 11101110 0001 0010 0011 0000 01100100
1110100010 01100110 10100100 01010111 0000 0011 0011 0011 01110100
0001000110 10001101 00111000 10000010 0001 0010 0000 0000 00111111
0110101101 11110010 01001110 11011100 0000 0000 0001 0001 10011110
1110010001 11000001 10000111 01101101 0010 0011 0011 0000 11011101
0001011000 11101100 01010001 00100000 0011 0001 0010 0010 10001000
0000010010 11100001 00100001 00100010 0001 0010 0010 0000 10000110
0001000000 01111100 00010000 00000000 0011 0001 0011 0011 10001110
0001111000 01011100 01010001 00110000 0001 0010 0001 0001 00101101
0010010001 10011110 00000111 01101000 0011 0000 0001 0010 10010001
0000000010 00111110 00100000 00000010 0010 0011 0000 0000 11100010
0101101011 01110111 01110010 00011110 0011 0010 0001 0010 10100111
1011110100 01001010 10011101 11110001 0001 0001 0011 0010 01000001
0001011101 01011111 01011011 10101000 0010 0010 0001 0011 10011011
1001001101 11000110 11011010 10001001 0001 0011 0011 0011 01101110
0110000011 00011111 00100110 01001110 0011 0010 0001 0010 10011111
1110000010 11100101 10100100 01000111 0000 0001 0011 0000 11011110
1000001100 10010010 11001000 10000001 0001 0001 0010 0000 01010011
1001101011 00110100 11110010 00011011 0001 0000 0010 0011 11111101
0011101101 10100101 01011110 11011000 0000 0011 0001 0000 01000110
1110110001 11110010 10000111 01111101 0011 0010 0000 0000 11000000
0010000110 01000100 00101100 11000010 0000 0001 0000 0000 00010000
0011100110 10100011 00111100 11010010 0011 0011 0001 0001 11010001
1011000111 10111100 10111110 11001011 0011 0001 0011 0000 10111000
1000110111 00001011 10101011 10111011 0011 0001 0001 0000 11110111
1000000111 00001010 10101010 10001011 0010 0001 0000 0010 10000011
1010111101 10011011 11001111 11111001 0010 0000 0010 0010 01000100
0110010110 10011111 00101101 11100110 0011 0001 0010 0011 01010000
0011000011 00111001 00110110 01001010 0011 0001 0001 0001 00111011
1111110100 00000111 10011101 11110101 0010 0011 0010 0000 00001110
1110100101 11001001 10001110 11011101 0001 0001 0000 0011 00000011
1100110011 11110100 10100011 00111111 0011 0001 0000 0001 01001100
1001001100 00011101 11011000 10000001 0010 0001 0001 0000 00100110
0100110010 01001110 00100001 00110110 0001 0011 0000 0001 10101100
1001100111 10111110 10111010 10011011 0010 0000 0010 0011 01001101
0111110100 00110001 00011101 11110100 0000 0010 0010 0010 11100100
1011100011 10111010 10110110 01011011 0010 0010 0001 0001 10100100
1001100111 01000000 10111010 10011011 0001 0000 0011 0001 11000100
0000101100 11101011 01001000 10010000 0010 0011 0010 0010 00010101
0100100010 00000010 00100000 00010110 0010 0001 0001 0001 11000111
0001101111 00110010 01111010 10011010 0001 0010 0011 0001 00010100
1010101000 10010100 11000100 01010001 0000 0001 0011 0000 10000010
1111010001 11000111 10010111 01101101 0010 0000 0001 0010 11110101
0111101011 10111010 01110110 01011110 0010 0010 0001 0000 10100000
1001100010 01000001 10110000 00010011 0011 0011 0010 0000 10001111
1100101000 01100100 11000000 00010101 0001 0000 0000 0010 00101001
0000101010 11000010 01100000 00010010 0011 0001 0010 0000 00000001
0000110001 11110001 00000011 00111000 0010 0000 0010 0000 11011100
0011110001 01100000 00010111 01111000 0011 0011 0011 0001 11000111
0111110101 00001100 00011111 11111100 0001 0001 0001 0000 01110000
0010010001 00110100 00000111 01101000 0011 0011 0010 0001 11010110
0000011001 01011001 01000011 00101000 0010 0000 0011 0001 10110010
1101001011 10111111 11110010 00001111 0001 0000 0010 0000 01111111
1000101000 10011110 11000000 00010001 0011 0011 0011 0010 00011000
0101001010 11101100 01110000 00000110 0010 0010 0010 0011 10010101
0110010101 01000011 00001111 11101100 0010 0001 0001 0011 11110011
1100100000 00101110 10000000 00010101 0011 0011 0011 0011 01010110
1101111110 01100010 11111001 10110111 0000 0001 0001 0000 11011001
0111011111 01100110 01111111 11101110 0010 0000 0011 0010 01111011
1011100010 01111011 10110100 01010011 0011 0001 0011 0000 00101111
1011010010 00101110 10110101 01100011 0000 0000 0001 0011 11001101
0000001110 00111101 01101000 10000010 0011 0001 0001 0001 00111010
1000011001 00001001 11000011 00101001 0010 0011 0011 0011 11001011
0110110011 11001111 00100111 01111110 0011 0010 0011 0001 01101001
1011011000 00001101 11010101 01100001 0011 0010 0011 0000 11111111
0010010101 11000010 00001111 11101000 0000 0000 0000 0001 10010110
1100000011 11011001 10100010 00001111 0011 0011 0010 0000 11101101
0010000101 01000110 00001110 11001000 0000 0001 0000 0010 10110000
1000100111 11101001 10101010 10011011 0011 0011 0001 0000 01100101
1011001011 01101001 11110110 01001011 0001 0000 0001 0011 01001000
0000110001 01010000 00000011 00111000 0011 0001 0011 0001 10000111
1011001110 11010011 11111100 11000011 0011 0011 0010 0011 01101001
0011001111 11110010 01111110 11001010 0001 0000 0001 0001 10001110
0100111100 10111011 01001001 10110100 0001 0011 0001 0011 10010011
1010001010 11101110 11100100 01000011 0000 0001 0011 0010 01011010
1010011101 01101100 11001111 11101001 0011 0001 0000 0011 00001110
1110011100 00010010 11001101 11100101 0001 0000 0010 0010 01110000
0101011010 00011010 01110001 00100110 0010 0011 0011 0011 00001111
0011100110 00010010 00111100 11010010 0010 0011 0010 0001 01001111
0110110110 10000111 00101101 11110110 0000 0011 0010 0000 00001110
1100011010 01010000 11100001 00100111 0010 0000 0011 0010 10110010
1011001011 10011010 11110110 01001011 0000 0010 0011 0000 00101010
0000000011 01100010 00100010 00001010 0010 0000 0011 0000 01011010
1001110101 01011100 10011011 10111001 0001 0000 0011 0010 10000001
0000101111 00001000 01101010 10011010 0000 0000 0011 0000 11100000
1001011010 10000000 11110001 00100011 0010 0010 0010 0011 10101100
1011000000 11110101 10010100 01000001 0010 0000 0010 0001 11011001
1001010100 10111001 10011001 10100001 0011 0010 0011 0000 10110100
0001111000 00000100 01010001 00110000 0001 0010 0011 0000 11011001
1110100000 11111110 10000100 01010101 0001 0000 0011 0001 00101111
0011111100 11000111 01011101 11110000 0010 0011 0010 0001 00011000
0010001100 11110011 01001100 11000000 0010 0011 0010 0010 01110101
0001110100 00000001 00011001 10110000 0010 0010 0000 0011 00101010
1000010001 01011000 10000011 00101001 0011 0011 0011 0011 10001111
1011111011 11011101 11110111 01111011 0000 0000 0011 0000 10110111
1100000111 00100110 10101010 10001111 0000 0011 0000 0011 10100100
0111100011 00000111 00110110 01011110 0011 0001 0011 0000 01010110
0011101101 11010110 01011110 11011000 0011 0000 0010 0000 01000001
0100011101 10100111 01001011 10101100 0011 0010 0001 0001 11010001
1010111101 00001011 11001111 11111001 0000 0010 0011 0000 01101100
0011100111 01001011 00111110 11011010 0000 0000 0011 0001 01110000
0110011001 11011110 01000111 01101100 0011 0000 0011 0010 00000001
1101011010 10111010 11110001 00100111 0000 0011 0000 0000 11100011
1010100100 10101011 10001100 11010001 0010 0001 0011 0000 01101101
1011100011 11100101 10110110 01011011 0011 0000 0010 0011 10101001
0011011010 00001000 01110101 01100010 0010 0010 0010 0010 10001010
1000001001 00100100 11000010 00001001 0001 0001 0001 0001 01011100
0101010111 10010100 00111011 10101110 0000 0000 0001 0010 00100011
1010101111 11010111 11101110 11011011 0001 0001 0001 0010 10100110
0110111011 01010001 01100111 01111110 0001 0000 0000 0000 01000100
0110010011 11000110 00100111 01101110 0010 0001 0000 0011 10110100
1000001010 10000011 11100000 00000011 0011 0000 0011 0001 01010000
1000111101 01010000 11001011 10111001 0000 0000 0010 0011 11110100
0000010100 01011100 00001001 10100000 0001 0001 0010 0000 11100000
0011011011 01000000 01110111 01101010 0000 0011 0011 0011 11111101
0010011100 00011110 01001101 11100000 0011 0000 0001 0001 10110111
1011001001 11110110 11010110 01001001 0011 0001 0001 0000 10001000
0100111100 00111111 01001001 10110100 0001 0011 0010 0001 01110000
1010001101 11100100 11001110 11001001 0001 0000 0000 0011 00101111
1100100110 00011011 10101000 10010111 0001 0011 0011 0000 00111101
0101100000 01011110 00010000 00010100 0001 0011 0001 0000 10101000
1011110000 10001001 10010101 01110001 0010 0010 0010 0001 10101000
1111111100 00010010 11011101 11110101 0011 0000 0010 0011 01110110
0100001011 11101101 01100010 00001110 0001 0000 0001 0000 01101111
1010101101 10000011 11001110 11011001 0010 0010 0001 0000 11001100
1100100001 00001111 10000010 00011101 0010 0001 0011 0011 01000010
0011000000 00100000 00010100 01000000 0011 0010 0000 0000 00010010
0001001101 01001101 01011010 10001000 0010 0011 0001 0011 01011010
1000111010 00110001 11100001 00110011 0000 0011 0011 0001 10000001
1101000111 01101101 10111010 10001111 0000 0011 0001 0000 01110100
0100011100 10100100 01001001 10100100 0011 0010 0001 0000 01010001
0111000100 00001011 00011100 11000100 0010 0001 0010 0000 00100111
1001100011 11011001 10110010 00011011 0001 0011 0010 0001 11101011
1010101000 10000000 11000100 01010001 0001 0010 0000 0011 00111110
0111101111 10010101 01111110 11011110 0011 0011 0000 0001 01011000
1111011000 11101011 11010101 01100101 0010 0001 0011 0011 01011001
1111011110 00101110 11111101 11100111 0010 0001 0000 0010 10001010
0100101110 11000101 01101000 10010110 0011 0000 0001 0000 01000101
0000000011 00111000 00100010 00001010 0000 0011 0000 0001 01100101
0110001011 11110001 01100110 01001110 0001 0011 0011 0010 10100111
0100011100 01001111 01001001 10100100 0010 0011 0000 0000 10111110
1110001000 00001010 11000100 01000101 0001 0001 0000 0001 10110101
0110010000 00101000 00000101 01100100 0011 0010 0010 0011 10010110
0011010101 00000001 00011111 11101000 0010 0011 0001 0011 01101011
1110000101 11101111 10001110 11001101 0010 0000 0001 0000 11111101
0110101011 00001101 01100110 01011110 0001 0000 0010 0011 10010001
0000011000 00101111 01000001 00100000 0010 0011 0010 0001 00100010
1110101111 10110111 11101110 11011111 0001 0001 0001 0011 10111010
1001000110 00010101 10111000 10000011 0011 0010 0000 0001 01011011
1000101011 01011100 11100010 00011011 0001 0011 0001 0011 00001100
1000010010 11011110 10100001 00100011 0000 0011 0010 0010 01011010
1011000101 00110110 10011110 11001001 0001 0000 0001 0010 10111001
0001110110 10100010 00111001 10110010 0001 0001 0011 0000 01011011
1110010101 00111101 10001111 11101101 0010 0001 0000 0001 01101010
1101000010 11010001 10110000 00000111 0011 0010 0011 0000 10001100
1101001001 11100001 11010010 00001101 0010 0000 0001 0011 01111000
1000100011 10111000 10100010 00011011 0010 0011 0010 0000 11100001
0001110100 01110100 00011001 10110000 0001 0011 0001 0000 00000000
0001011001 11001110 01010011 00101000 0001 0001 0010 0000 00100010
1100111000 00101011 11000001 00110101 0000 0011 0011 0000 01100101
1001010001 10000100 10010011 00101001 0011 0000 0011 0000 11010001
1110110100 10011000 10001101 11110101 0011 0011 0000 0011 01011101
1000000101 10101011 10001010 10001001 0010 0010 0000 0010 10000100
0000111000 01000001 01000001 00110000 0010 0010 0011 0011 11111010
0111101010 10100000 01110100 01010110 0000 0010 0011 0010 11100010
0011001000 11101100 01010100 01000000 0011 0000 0000 0001 00101101
0110100011 11011110 00100110 01011110 0010 0010 0000 0000 11111001
0100111100 10111101 01001001 10110100 0010 0010 0011 0001 10100001
1001000111 10010001 10111010 10001011 0011 0000 0001 0000 00010100
1001010010 11001101 10110001 00100011 0000 0000 0001 0011 01010011
0110001000 01010101 01000100 01000100 0000 0000 0000 0000 01010101
1000111000 10000000 11000001 00110001 0001 0010 0011 0011 11111110
0001110000 01000111 00010001 00110000 0001 0001 0010 0000 00000100
0111101110 10010101 01111100 11010110 0011 0001 0011 0011 10110000
0100100111 11010110 00101010 10011110 0011 0010 0010 0001 01001101
1101110101 10010110 10011011 10111101 0001 0011 0010 0000 01011010
0010111000 10111110 01000101 01110000 0011 0001 0000 0001 11111100
0101011100 00000100 01011001 10100100 0001 0010 0011 0010 11111001
0101011011 10111111 01110011 00101110 0000 0001 0001 0011 10001010
1101110110 01000011 10111001 10110111 0011 0000 0010 0001 00000010
0101100111 00001111 00111010 10011110 0000 0010 0010 0001 00101001
1101111001 01110110 11010011 00111101 0011 0000 0000 0000 11001011
1110101011 01111110 11100110 01011111 0010 0010 0001 0010 10010011
1011001101 01101100 11011110 11001001 0001 0000 0010 0001 10101101
0111001001 00110111 01010110 01001100 0001 0000 0010 0010 01111101
1100110101 10110100 10001011 10111101 0001 0000 0011 0001 10011111
1110101011 01011111 11100110 01011111 0011 0010 0011 0010 00001111
0100001111 00000110 01101010 10001110 0011 0011 0001 0010 11111010
1000101010 11101000 11100000 00010011 0010 0010 0001 0001 01110100
1101001101 10110001 11011010 10001101 0001 0000 0001 0000 00011110
0001010010 11000110 00110001 00100010 0001 0000 0000 0011 10100111
0010010101 11001110 00001111 11101000 0011 0010 0011 0010 01001001
0001101110 10000001 01111000 10010010 0001 0000 0001 0010 01110110
1101100001 01001011 10010010 00011101 0000 0001 0000 0010 10010101
1111000011 11100010 10110110 01001111 0010 0010 0001 0000 11010000
0011011000 00010101 01010101 01100000 0010 0001 0011 0001 10000010
0000100010 00100111 00100000 00010010 0000 0000 0000 0000 10001101
0111111100 00001011 01011101 11110100 0011 0000 0010 0011 00010010
1011110100 00111001 10011101 11110001 0011 0000 0000 0011 01011010
0000001001 01111011 01000010 00001000 0001 0000 0011 0001 00101000
0001110000 01111110 00010001 00110000 0001 0011 0010 0000 01100000
1100101110 00000101 11101000 10010111 0001 0000 0010 0000 10010101
1110000011 00111110 10100110 01001111 0000 0010 0010 0011 01000101
0011001010 01001110 01110100 01000010 0011 0001 0001 0000 11100010
0111001011 01010000 01110110 01001110 0010 0011 0001 0010 00111011
0010000011 11111001 00100110 01001010 0001 0001 0010 0010 11001111
0100110001 00101111 00000011 00111100 0001 0000 0011 0010 01011101
0000001010 10000010 01100000 00000010 0011 0001 0010 0001 00010101
0011101000 10101101 01010100 01010000 0010 0011 0001 0000 01100100
0101111110 10000111 01111001 10110110 0011 0000 0011 0011 01110001
0110100111 00110110 00101110 11011110 0011 0000 0000 0010 11111011
0110001101 10000110 01001110 11001100 0001 0001 0001 0011 11110110
0001010000 10101110 00010001 00100000 0000 0011 0010 0001 00100110
1100100101 01110101 10001010 10011101 0011 0000 0000 0000 01001111
0010010011 10000100 00100111 01101010 0000 0011 0010 0001 10001110
1100000110 10110110 10101000 10000111 0010 0001 0011 0000 00001000
0111000111 00100110 00111110 11001110 0001 0001 0011 0001 01011100
0111001111 00001010 01111110 11001110 0011 0011 0010 0010 00011011
1110010000 11000011 10000101 01100101 0000 0011 0011 0000 01011111
1001101100 11000010 11011000 10010001 0001 0000 0011 0000 01000010
0011010110 11100111 00111101 11100010 0011 0011 0011 0001 01000000
0111110010 00001110 00110101 01110110 0010 0000 0011 0001 01100111
0011111000 11001100 01010101 01110000 0011 0010 0011 0001 11101101
1111011000 01000011 11010101 01100101 0000 0011 0011 0011 01111001
1111011011 00101100 11110111 01101111 0011 0000 0011 0000 11111011
1110110011 00111011 10100111 01111111 0001 0011 0011 0011 00010001
1001100100 11100011 10011000 10010001 0010 0001 0011 0001 01011001
1000101001 10011011 11000010 00011001 0010 0000 0011 0010 00000100
0101100011 00001001 00110010 00011110 0001 0000 0001 0011 01010000
0010110000 11100101 00000101 01110000 0000 0000 0000 0011 00111011
1110010010 01000001 10100101 01100111 0000 0000 0000 0011 00110000
1110100111 01010100 10101110 11011111 0011 0011 0011 0010 10101010
1111100001 01010101 10010110 01011101 0010 0011 0000 0000 01011110
0011001110 00010011 01111100 11000010 0011 0011 0010 0000 01011111
0000111100 11000101 01001001 10110000 0010 0010 0001 0000 01011101
0100001011 10000100 01100010 00001110 0010 0001 0001 0000 01000000
1001111000 10101100 11010001 00110001 0001 0001 0011 0011 11011110
0010111110 10001110 01101101 11110010 0010 0001 0010 0001 00100100
1110110101 11110000 10001111 11111101 0001 0000 0010 0001 11001110
0101111110 00100011 01111001 10110110 0011 0000 0010 0010 00111110
1000100100 10100001 10001000 10010001 0010 0000 0000 0001 00001000
0010001000 01001001 01000100 01000000 0000 0011 0010 0000 10111101
1100100101 01011110 10001010 10011101 0001 0000 0001 0001 10100101
0110001111 11000011 01101110 11001110 0001 0010 0001 0011 11101010
1101011011 00011000 11110011 00101111 0010 0011 0011 0010 10001011
0010011001 00000010 01000111 01101000 0001 0001 0001 0010 11110001
1111000100 11001110 10011100 11000101 0001 0000 0010 0011 00000111
0110101001 11110010 01000110 01011100 0000 0001 0010 0000 01011011
0100110001 00001000 00000011 00111100 0011 0011 0001 0000 01111011
0110010001 00110000 00000111 01101100 0011 0011 0000 0011 01110111
0011000111 11001101 00111110 11001010 0001 0001 0011 0011 11000010
1000011100 01010100 11001001 10100001 0000 0011 0010 0010 11111000
0000001100 10101100 01001000 10000000 0001 0001 0001 0011 01011110
0110101010 00101110 01100100 01010110 0010 0001 0001 0000 11101010
0101110100 11001111 00011001 10110100 0010 0011 0011 0010 01011100
1110100010 10101001 10100100 01010111 0011 0011 0010 0000 10110101
1100010111 01000010 10101011 10101111 0000 0010 0010 0000 00011000
1001011101 00010000 11011011 10101001 0011 0000 0010 0000 11010010
1001011100 00101001 11011001 10100001 0011 0001 0001 0000 01111111
1100100011 00001101 10100010 00011111 0011 0000 0010 0010 10010111
0011111101 11011010 01011111 11111000 0000 0011 0001 0011 10011111
0111111000 10110001 01010101 01110100 0010 0001 0011 0011 10101001
0110111001 00100001 01000111 01111100 0010 0011 0011 0011 11100011
1001110101 00101110 10011011 10111001 0001 0000 0001 0010 11011001
0111001101 11101110 01011110 11001100 0001 0011 0011 0000 01100010
1010111011 01011010 11100111 01111011 0010 0000 0001 0011 10010110
0111010110 10001100 00111101 11100110 0000 0010 0001 0011 01001111
1000000110 10110011 10101000 10000011 0011 0000 0011 0011 00111000
0101111101 01111001 01011011 10111100 0000 0011 0011 0001 10110001
0001110001 11100010 00010011 00111000 0011 0010 0010 0011 00100100
0110001000 00011000 01000100 01000100 0011 0010 0011 0000 10111010
0010001010 10101101 01100100 01000010 0001 0011 0000 0010 00010110
0000101010 01001100 01100000 00010010 0000 0010 0010 0011 10011101
0110110001 00111110 00000111 01111100 0011 0000 0000 0000 11111011
0111100100 10001100 00011100 11010100 0001 0011 0001 0000 01111010
1000111011 11011010 11100011 00111011 0010 0010 0010 0000 01111000
1011101000 01010100 11010100 01010001 0011 0001 0011 0000 10000010
1101011111 00110111 11111011 10101111 0011 0000 0001 0000 10011111
